,datedim,vehicle_name,port_name,vehicle_type,eva_name,eva_type,eva_accuracy,event
419,2/24/2023,69Soyuz,MRM2 / SM Zenith,Soyuz,,,,Launch
420,2/25/2023,,,,,,,
421,2/26/2023,69Soyuz,MRM2 / SM Zenith,Soyuz,,,,Dock
422,2/27/2023,,,,,,,
423,2/28/2023,,,,,,,
424,3/1/2023,,,,,,,
425,3/2/2023,Crew-6,N2 Zenith,Crew Dragon,,,,Launch
426,3/3/2023,Crew-6,N2 Zenith,Crew Dragon,,,,Dock
427,3/4/2023,,,,,,,
428,3/5/2023,,,,,,,
429,3/6/2023,,,,,,,
430,3/7/2023,,,,,,,
431,3/8/2023,,,,,,,
432,3/9/2023,,,,,,,
433,3/10/2023,,,,,,,
434,3/11/2023,Crew-5,N2 Fwd / PMA-2,Crew Dragon,,,,Undock
435,3/12/2023,Crew-5,N2 Fwd / PMA-2,Crew Dragon,,,,Landing
436,3/13/2023,,,,,,,
437,3/14/2023,,,,,,,
438,3/15/2023,SpX-27,N2 Fwd / PMA-2,Cargo Dragon,,,,Launch
439,3/16/2023,SpX-27,N2 Fwd / PMA-2,Cargo Dragon,,,,Dock
440,3/17/2023,,,,,,,
441,3/18/2023,,,,,,,
442,3/19/2023,,,,,,,
443,3/20/2023,,,,,,,
444,3/21/2023,,,,,,,
445,3/22/2023,,,,,,,
446,3/23/2023,,,,,,,
447,3/24/2023,,,,,,,
448,3/25/2023,,,,,,,
449,3/26/2023,,,,,,,
450,3/27/2023,,,,,,,
451,3/28/2023,68Soyuz,MRM1 / FGB Nadir,Soyuz,,,,Undock
452,3/29/2023,,,,,,,
453,3/30/2023,,,,,,,
454,3/31/2023,,,,,,,
455,4/1/2023,,,,,,,
456,4/2/2023,,,,,,,
457,4/3/2023,,,,,,,
458,4/4/2023,,,,,,,
459,4/5/2023,,,,,,,
460,4/6/2023,69Soyuz,MRM2 / SM Zenith,Soyuz,,,,Relocate 1
461,4/7/2023,,,,,,,
462,4/8/2023,,,,,,,
463,4/9/2023,,,,,,,
464,4/10/2023,,,,,,,
465,4/11/2023,,,,,,,
466,4/12/2023,,,,,,,
467,4/13/2023,,,,,,,
468,4/14/2023,,,,,,,
469,4/15/2023,SpX-27,N2 Fwd / PMA-2,Cargo Dragon,,,,Undock
470,4/16/2023,,,,,,,
471,4/17/2023,,,,,,,
472,4/18/2023,,,,,,,
473,4/19/2023,,,,R-56,RS,Actual,EVA
474,4/20/2023,,,,,,,
475,4/21/2023,NG-18,N1 Nadir,CRS2 Cygnus,,,,Undock
476,4/22/2023,,,,,,,
477,4/23/2023,,,,,,,
478,4/24/2023,,,,,,,
479,4/25/2023,,,,,,,
480,4/26/2023,,,,,,,
481,4/27/2023,,,,,,,
482,4/28/2023,,,,U-86 (RFG Retrieval),US,Actual,EVA
483,4/29/2023,,,,,,,
484,4/30/2023,,,,,,,
485,5/1/2023,,,,,,,
486,5/2/2023,,,,,,,
487,5/3/2023,,,,R-57,RS,Actual,EVA
488,5/4/2023,,,,,,,
489,5/5/2023,,,,,,,
490,5/6/2023,Crew-6,N2 Zenith,Crew Dragon,,,,Relocate 1
491,5/7/2023,,,,,,,
492,5/8/2023,,,,,,,
493,5/9/2023,,,,,,,
494,5/10/2023,,,,,,,
495,5/11/2023,,,,,,,
496,5/12/2023,,,,R-58,RS,Actual,EVA
497,5/13/2023,,,,,,,
498,5/14/2023,,,,,,,
499,5/15/2023,,,,,,,
500,5/16/2023,,,,,,,
501,5/17/2023,,,,,,,
502,5/18/2023,,,,,,,
503,5/19/2023,,,,,,,
504,5/20/2023,,,,,,,
505,5/21/2023,Ax-2,N2 Zenith,PAM - SpaceX,,,,Launch
506,5/22/2023,Ax-2,N2 Zenith,PAM - SpaceX,,,,Dock
507,5/23/2023,,,,,,,
508,5/24/2023,84Progress,MRM2 / SM Zenith,Progress,,,,Dock
509,5/25/2023,,,,,,,
510,5/26/2023,,,,,,,
511,5/27/2023,,,,,,,
512,5/28/2023,,,,,,,
513,5/29/2023,,,,,,,
514,5/30/2023,Ax-2,N2 Zenith,PAM - SpaceX,,,,Undock
515,5/31/2023,Ax-2,N2 Zenith,PAM - SpaceX,,,,Landing
516,6/1/2023,,,,,,,
517,6/2/2023,,,,,,,
518,6/3/2023,,,,,,,
519,6/4/2023,,,,,,,
520,6/5/2023,SpX-28,N2 Zenith,Cargo Dragon,,,,Launch
521,6/6/2023,SpX-28,N2 Zenith,Cargo Dragon,,,,Dock
522,6/7/2023,,,,,,,
523,6/8/2023,,,,,,,
524,6/9/2023,,,,U-87 (IROSA 1A),US,Actual,EVA
525,6/10/2023,,,,,,,
526,6/11/2023,,,,,,,
527,6/12/2023,,,,,,,
528,6/13/2023,,,,,,,
529,6/14/2023,,,,,,,
